Season,TeamA,TeamAState,TeamB,TeamBState,HomeScore,VisitorScore,Margin,Distance
12/14/2013,Navy,Maryland,Army,New York,34,7,27,205.4
12/7/2013,Connecticut,Connecticut,Memphis,Tennessee,45,10,35,1186.2
12/7/2013,Rutgers,New Jersey,South Florida,Florida,31,6,25,1117.2
12/7/2013,Baylor,Texas,Texas,Texas,30,10,20,100
12/7/2013,South Alabama,Alabama,UL-Lafayette,Louisiana,30,8,22,389.3
12/7/2013,S-M-U,Texas,U-C-F,Florida,13,17,-4,1366
12/7/2013,Oklahoma State,Oklahoma,Oklahoma,Oklahoma,24,33,-9,100
12/7/2013,Rice,Texas,Marshall,Tennessee,41,24,17,916.9
12/7/2013,Auburn,Alabama,Missouri,Missouri,59,42,17,595.4
12/7/2013,Florida State,Florida,Duke,North Carolina,45,7,38,656.8
12/7/2013,Arizona State,Arizona,Stanford,California,14,38,-24,398
12/7/2013,Michigan State,Michigan,Ohio State,Ohio,34,24,10,367
12/7/2013,Fresno State,California,Utah State,Utah,24,17,7,793.2
12/6/2013,Northern Illinois,Illinois,Bowling Green,Kentucky,27,47,-20,411.9
12/5/2013,Cincinnati,Ohio,Louisville,Kentucky,24,31,-7,248.9
11/30/2013,Michigan,Michigan,Ohio State,Ohio,41,42,-1,367
11/30/2013,Syracuse,New York,Boston College,Massachusetts,34,31,3,203.2
11/30/2013,No Carolina State,North Carolina,Maryland,Maryland,21,41,-20,314.4
11/30/2013,Vanderbilt,Tennessee,Wake Forest,North Carolina,23,21,2,553.8
11/30/2013,North Carolina,North Carolina,Duke,North Carolina,25,27,-2,100
11/30/2013,West Virginia,West Virginia,Iowa State,Iowa,44,52,-8,857.4
11/30/2013,Illinois,Illinois,Northwestern,Illinois,34,37,-3,100
11/30/2013,Indiana,Indiana,Purdue,Indiana,56,36,20,100
11/30/2013,Connecticut,Connecticut,Rutgers,New Jersey,28,17,11,166.7
11/30/2013,Kentucky,Kentucky,Tennessee,Tennessee,14,27,-13,268.5
11/30/2013,Michigan State,Michigan,Minnesota,Minnesota,14,3,11,702.2
11/30/2013,Memphis,Tennessee,Temple,Pennsylvania,21,41,-20,820
11/30/2013,U-A-B,Alabama,Southern Miss,Mississippi,27,62,-35,157.9
11/30/2013,Georgia State,Georgia,South Alabama,Alabama,17,38,-21,277.8
11/30/2013,Utah State,Utah,Wyoming,Wyoming,35,7,28,482.4
11/30/2013,Utah,Utah,Colorado,Colorado,24,17,7,429
11/30/2013,Nevada-Reno,Nevada,Brigham Young,Utah,23,28,-5,476.7
11/30/2013,Rice,Texas,Tulane,Louisiana,17,13,4,570.2
11/30/2013,Georgia Tech,Georgia,Georgia,Georgia,34,41,-7,100
11/30/2013,Missouri,Missouri,Texas A+M,Texas,28,21,7,724.5
11/30/2013,Virginia,Virginia,Virginia Tech,Virginia,6,16,-10,100
11/30/2013,Auburn,Alabama,Alabama,Alabama,34,28,6,100
11/30/2013,Boise State,Montana,New Mexico,New Mexico,45,17,28,1181.7
11/30/2013,Texas Christian,Texas,Baylor,Texas,38,41,-3,100
11/30/2013,Florida,Florida,Florida State,Florida,7,37,-30,100
11/30/2013,Colorado State,Colorado,Air Force,Colorado,58,13,45,100
11/30/2013,Kansas,Kansas,Kansas State,Kansas,10,31,-21,100
11/30/2013,Wisconsin,Wisconsin,Penn State,Pennsylvania,24,31,-7,777.1
11/30/2013,Texas-San Antonio,Texas,Louisiana Tech,Louisiana,30,10,20,570.2
11/30/2013,New Mexico State,New Mexico,Idaho,Idaho,24,16,8,1018.7
11/30/2013,Nevada-Las Vegas,Nevada,San Diego State,California,45,19,26,556.6
11/30/2013,Western Kentucky,Kentucky,Arkansas State,Arkansas,34,31,3,547.2
11/30/2013,Tulsa,Oklahoma,North Texas,Texas,10,42,-32,341.4
11/30/2013,UL-Lafayette,Louisiana,UL-Monroe,Louisiana,28,31,-3,100
11/30/2013,Middle Tennessee,Tennessee,UTEP,Texas,48,17,31,916.9
11/30/2013,South Carolina,South Carolina,Clemson,South Carolina,31,17,14,100
11/30/2013,Southern Cal,California,U.C.L.A.,California,14,35,-21,100
11/30/2013,Stanford,California,Notre Dame,Indiana,27,20,7,2232.2
11/30/2013,Arizona State,Arizona,Arizona,Arizona,58,21,37,100
11/30/2013,Hawaii,Hawaii,Army,New York,49,42,7,4899
11/29/2013,Nebraska,Nebraska,Iowa,Iowa,17,38,-21,417.2
11/29/2013,Akron,Ohio,Toledo,Ohio,31,29,2,100
11/29/2013,Ball State,Indiana,Miami-Ohio,Ohio,55,14,41,240.7
11/29/2013,Central Michigan,Michigan,Eastern Michigan,Michigan,42,10,32,100
11/29/2013,Ohio,Ohio,Massachusetts,Massachusetts,51,23,28,738.3
11/29/2013,Marshall,Tennessee,East Carolina,North Carolina,59,28,31,553.8
11/29/2013,Buffalo,New York,Bowling Green,Kentucky,7,24,-17,700.1
11/29/2013,Louisiana State,Louisiana,Arkansas,Arkansas,31,27,4,347.7
11/29/2013,Troy,Alabama,Texas State,Texas,42,28,14,829.8
11/29/2013,Florida Atlantic,Florida,Florida Intl,Florida,21,6,15,100
11/29/2013,U-C-F,Florida,South Florida,Florida,23,20,3,100
11/29/2013,San Jose State,California,Fresno State,California,62,52,10,100
11/29/2013,Pittsburgh,Pennsylvania,Miami-Florida,Florida,31,41,-10,1126.5
11/29/2013,Washington,Washington,Washington State,Washington,27,17,10,100
11/29/2013,Houston,Texas,S-M-U,Texas,34,0,34,100
11/29/2013,Oregon,Oregon,Oregon State,Oregon,36,35,1,100
11/28/2013,Texas,Texas,Texas Tech,Texas,41,16,25,100
11/28/2013,Mississippi State,Mississippi,Mississippi,Mississippi,17,10,7,100
11/26/2013,Northern Illinois,Illinois,Western Michigan,Michigan,33,14,19,409.6
11/23/2013,Penn State,Pennsylvania,Nebraska,Nebraska,20,23,-3,1304.6
11/23/2013,Purdue,Indiana,Illinois,Illinois,16,20,-4,206.4
11/23/2013,Syracuse,New York,Pittsburgh,Pennsylvania,16,17,-1,200.5
11/23/2013,Temple,Pennsylvania,Connecticut,Connecticut,21,28,-7,260
11/23/2013,Ohio State,Ohio,Indiana,Indiana,42,14,28,240.7
11/23/2013,Northwestern,Illinois,Michigan State,Michigan,6,30,-24,409.6
11/23/2013,No Carolina State,North Carolina,East Carolina,North Carolina,28,42,-14,100
11/23/2013,Florida State,Florida,Idaho,Idaho,80,14,66,2674.9
11/23/2013,Florida Intl,Florida,Marshall,Tennessee,10,48,-38,718.2
11/23/2013,Georgia,Georgia,Kentucky,Kentucky,59,17,42,519.4
11/23/2013,Iowa State,Iowa,Kansas,Kansas,34,0,34,465
11/23/2013,Wake Forest,North Carolina,Duke,North Carolina,21,28,-7,100
11/23/2013,Maryland,Maryland,Boston College,Massachusetts,26,29,-3,405.8
11/23/2013,Minnesota,Minnesota,Wisconsin,Wisconsin,7,20,-13,425.5
11/23/2013,Miami-Florida,Florida,Virginia,Virginia,45,26,19,807.8
11/23/2013,Houston,Texas,Cincinnati,Ohio,17,24,-7,1274.7
11/23/2013,Louisville,Kentucky,Memphis,Tennessee,24,17,7,268.5
11/23/2013,Tennessee,Tennessee,Vanderbilt,Tennessee,10,14,-4,100
11/23/2013,Central Michigan,Michigan,Massachusetts,Massachusetts,37,0,37,864.7
11/23/2013,Eastern Michigan,Michigan,Bowling Green,Kentucky,7,58,-51,555
11/23/2013,Wyoming,Wyoming,Hawaii,Hawaii,59,56,3,3205
11/23/2013,Texas State,Texas,Western Kentucky,Kentucky,7,37,-30,1115.9
11/23/2013,Iowa,Iowa,Michigan,Michigan,24,21,3,582.9
11/23/2013,U.C.L.A.,California,Arizona State,Arizona,33,38,-5,398
11/23/2013,Utah State,Utah,Colorado State,Colorado,13,0,13,429
11/23/2013,Colorado,Colorado,Southern Cal,California,29,47,-18,1174
11/23/2013,Louisiana State,Louisiana,Texas A+M,Texas,34,10,24,570.2
11/23/2013,Arkansas,Arkansas,Mississippi State,Mississippi,17,24,-7,321.9
11/23/2013,Arizona,Arizona,Oregon,Oregon,42,16,26,1218.1
11/23/2013,Tulane,Louisiana,UTEP,Texas,45,3,42,570.2
11/23/2013,Stanford,California,California,California,63,13,50,100
11/23/2013,North Texas,Texas,Texas-San Antonio,Texas,13,21,-8,100
11/23/2013,Notre Dame,Indiana,Brigham Young,Utah,23,13,10,1571.4
11/23/2013,Oklahoma State,Oklahoma,Baylor,Texas,49,17,32,341.4
11/23/2013,Southern Miss,Mississippi,Middle Tennessee,Tennessee,21,42,-21,346.7
11/23/2013,Arkansas State,Arkansas,Georgia State,Georgia,35,33,2,649.6
11/23/2013,Oregon State,Oregon,Washington,Washington,27,69,-42,359
11/23/2013,South Alabama,Alabama,UL-Monroe,Louisiana,36,14,22,389.3
11/23/2013,South Florida,Florida,S-M-U,Texas,6,16,-10,1366
11/23/2013,Fresno State,California,New Mexico,New Mexico,69,28,41,991.6
11/23/2013,Florida Atlantic,Florida,New Mexico State,New Mexico,55,10,45,1764.7
11/23/2013,Louisiana Tech,Louisiana,Tulsa,Oklahoma,14,24,-10,468.1
11/23/2013,Kansas State,Kansas,Oklahoma,Oklahoma,31,41,-10,357
11/23/2013,Mississippi,Mississippi,Missouri,Missouri,10,24,-14,486.1
11/23/2013,Washington State,Washington,Utah,Utah,49,37,12,980.4
11/23/2013,San Diego State,California,Boise State,Idaho,34,31,3,909
11/23/2013,North Carolina,North Carolina,Old Dominion,Virginia,80,20,60,154.9
11/23/2013,Alabama,Alabama,Chattanooga,Tennessee,49,0,49,258
11/23/2013,Florida,Florida,Georgia Southern,Georgia,20,26,-6,365.7
11/23/2013,South Carolina,South Carolina,Coastal Carolina,South Carolina,70,10,60,100
11/23/2013,Georgia Tech,Georgia,Alabama A+M,Alabama,66,7,59,277.8
11/23/2013,Clemson,South Carolina,The Citadel,South Carolina,52,6,46,100
11/22/2013,San Jose State,California,Navy,Maryland,52,58,-6,2780.6
11/21/2013,U-C-F,Florida,Rutgers,New Jersey,41,17,24,1117.2
11/21/2013,U-A-B,Alabama,Rice,Texas,34,37,-3,829.8
11/21/2013,Air Force,Colorado,Nevada-Las Vegas,Nevada,21,41,-20,802.7
11/20/2013,Toledo,Ohio,Northern Illinois,Illinois,17,35,-18,412.1
11/19/2013,Miami-Ohio,Ohio,Buffalo,New York,7,44,-37,535.3
11/19/2013,Ohio,Ohio,Kent State,Ohio,13,44,-31,100
11/16/2013,Duke,North Carolina,Miami-Florida,Florida,48,30,18,656.8
11/16/2013,Wisconsin,Wisconsin,Indiana,Indiana,51,3,48,342.8
11/16/2013,Vanderbilt,Tennessee,Kentucky,Kentucky,22,6,16,268.5
11/16/2013,Louisville,Kentucky,Houston,Texas,20,13,7,1115.9
11/16/2013,Western Michigan,Michigan,Central Michigan,Michigan,22,27,-5,100
11/16/2013,Virginia Tech,Virginia,Maryland,Maryland,24,27,-3,216.9
11/16/2013,Boston College,Massachusetts,No Carolina State,North Carolina,38,21,17,716.9
11/16/2013,Rutgers,New Jersey,Cincinnati,Ohio,17,52,-35,556
11/16/2013,Pittsburgh,Pennsylvania,North Carolina,North Carolina,27,34,-7,497.9
11/16/2013,Temple,Pennsylvania,U-C-F,Florida,36,39,-3,1126.5
11/16/2013,Penn State,Pennsylvania,Purdue,Indiana,45,21,24,558.5
11/16/2013,South Carolina,South Carolina,Florida,Florida,19,14,5,497.6
11/16/2013,Northwestern,Illinois,Michigan,Michigan,19,27,-8,409.6
11/16/2013,Florida State,Florida,Syracuse,New York,59,3,56,1148.9
11/16/2013,Southern Miss,Mississippi,Florida Atlantic,Florida,7,41,-34,730.2
11/16/2013,Massachusetts,Massachusetts,Akron,Ohio,13,14,-1,738.3
11/16/2013,East Carolina,North Carolina,U-A-B,Alabama,63,14,49,584.9
11/16/2013,S-M-U,Texas,Connecticut,Connecticut,38,21,17,1866.8
11/16/2013,Kansas,Kansas,West Virginia,West Virginia,31,19,12,1074
11/16/2013,Georgia State,Georgia,UL-Lafayette,Louisiana,21,35,-14,682.1
11/16/2013,Colorado,Colorado,California,California,41,24,17,1174
11/16/2013,Baylor,Texas,Texas Tech,Texas,63,34,29,100
11/16/2013,Boise State,Montana,Wyoming,Wyoming,48,7,41,421.4
11/16/2013,Arizona State,Arizona,Oregon State,Oregon,30,17,13,1218.1
11/16/2013,Auburn,Alabama,Georgia,Georgia,43,38,5,277.8
11/16/2013,Texas,Texas,Oklahoma State,Oklahoma,13,38,-25,330.7
11/16/2013,Oklahoma,Oklahoma,Iowa State,Iowa,48,10,38,632.1
11/16/2013,Oregon,Oregon,Utah,Utah,44,21,23,783.3
11/16/2013,Navy,Maryland,South Alabama,Alabama,42,14,28,868.3
11/16/2013,Nebraska,Nebraska,Michigan State,Michigan,28,41,-13,976.7
11/16/2013,Illinois,Illinois,Ohio State,Ohio,35,60,-25,412.1
11/16/2013,Nevada-Reno,Nevada,San Jose State,California,38,16,22,556.6
11/16/2013,Mississippi State,Mississippi,Alabama,Alabama,7,20,-13,157.9
11/16/2013,Southern Cal,California,Stanford,California,20,17,3,100
11/16/2013,New Mexico,New Mexico,Colorado State,Colorado,42,66,-24,405.3
11/16/2013,South Florida,Florida,Memphis,Tennessee,10,23,-13,718.2
11/16/2013,Rice,Texas,Louisiana Tech,Louisiana,52,14,38,570.2
11/16/2013,Kansas State,Kansas,Texas Christian,Texas,33,31,2,640.8
11/16/2013,Mississippi,Mississippi,Troy,Alabama,51,21,30,157.9
11/16/2013,Arkansas State,Arkansas,Texas State,Texas,38,21,17,584.1
11/16/2013,UTEP,Texas,Florida Intl,Florida,33,10,23,1366
11/16/2013,Arizona,Arizona,Washington State,Washington,17,24,-7,1441.1
11/16/2013,Hawaii,Hawaii,San Diego State,California,21,28,-7,2467
11/16/2013,Brigham Young,Utah,Idaho State,Idaho,59,13,46,520.2
11/15/2013,U.C.L.A.,California,Washington,Washington,41,31,10,954.6
11/14/2013,Clemson,South Carolina,Georgia Tech,Georgia,55,31,24,183.9
11/14/2013,Tulsa,Oklahoma,Marshall,Tennessee,34,45,-11,711.1
11/13/2013,Northern Illinois,Illinois,Ball State,Indiana,48,27,21,206.4
11/13/2013,Kent State,Ohio,Miami-Ohio,Ohio,24,6,18,100
11/12/2013,Bowling Green,Kentucky,Ohio,Ohio,49,0,49,248.9
11/12/2013,Toledo,Ohio,Buffalo,New York,51,41,10,535.3
11/9/2013,Purdue,Indiana,Iowa,Iowa,14,38,-24,259.9
11/9/2013,Army,New York,Western Kentucky,Kentucky,17,21,-4,700.1
11/9/2013,Cincinnati,Ohio,S-M-U,Texas,28,25,3,1284.5
11/9/2013,Duke,North Carolina,No Carolina State,North Carolina,38,20,18,100
11/9/2013,East Carolina,North Carolina,Tulsa,Oklahoma,58,24,34,1200
11/9/2013,Indiana,Indiana,Illinois,Illinois,52,35,17,206.4
11/9/2013,Iowa State,Iowa,Texas Christian,Texas,17,21,-4,915.8
11/9/2013,Wake Forest,North Carolina,Florida State,Florida,3,59,-56,656.8
11/9/2013,Marshall,Tennessee,U-A-B,Alabama,56,14,42,258
11/9/2013,Miami-Florida,Florida,Virginia Tech,Virginia,24,42,-18,807.8
11/9/2013,Minnesota,Minnesota,Penn State,Pennsylvania,24,10,14,1180.3
11/9/2013,Maryland,Maryland,Syracuse,New York,3,20,-17,205.4
11/9/2013,Kentucky,Kentucky,Missouri,Missouri,17,48,-31,466.4
11/9/2013,North Carolina,North Carolina,Virginia,Virginia,45,14,31,154.9
11/9/2013,Florida,Florida,Vanderbilt,Tennessee,17,34,-17,718.2
11/9/2013,Eastern Michigan,Michigan,Western Michigan,Michigan,35,32,3,100
11/9/2013,Texas-San Antonio,Texas,Tulane,Louisiana,10,7,3,570.2
11/9/2013,Wyoming,Wyoming,Fresno State,California,10,48,-38,1161.4
11/9/2013,Texas Tech,Texas,Kansas State,Kansas,26,49,-23,640.8
11/9/2013,Wisconsin,Wisconsin,Brigham Young,Utah,27,17,10,1487.5
11/9/2013,Mississippi,Mississippi,Arkansas,Arkansas,34,24,10,321.9
11/9/2013,Colorado State,Colorado,Nevada-Reno,Nevada,38,17,21,802.7
11/9/2013,Washington,Washington,Colorado,Colorado,59,7,52,1306.1
11/9/2013,West Virginia,West Virginia,Texas,Texas,40,47,-7,1360.7
11/9/2013,Utah,Utah,Arizona State,Arizona,19,20,-1,571.3
11/9/2013,Michigan,Michigan,Nebraska,Nebraska,13,17,-4,975.2
11/9/2013,Navy,Maryland,Hawaii,Hawaii,42,28,14,4781
11/9/2013,North Texas,Texas,UTEP,Texas,41,7,34,100
11/9/2013,Oklahoma State,Oklahoma,Kansas,Kansas,42,6,36,357
11/9/2013,California,California,Southern Cal,California,28,62,-34,100
11/9/2013,Pittsburgh,Pennsylvania,Notre Dame,Indiana,28,21,7,558.5
11/9/2013,Texas A+M,Texas,Mississippi State,Mississippi,51,41,10,673.3
11/9/2013,New Mexico State,New Mexico,Boston College,Massachusetts,34,48,-14,2199.2
11/9/2013,Nevada-Las Vegas,Nevada,Utah State,Utah,24,28,-4,476.7
11/9/2013,Middle Tennessee,Tennessee,Florida Intl,Florida,48,0,48,718.2
11/9/2013,UL-Monroe,Louisiana,Arkansas State,Arkansas,14,42,-28,347.7
11/9/2013,Louisiana Tech,Louisiana,Southern Miss,Mississippi,36,13,23,232.6
11/9/2013,Tennessee,Tennessee,Auburn,Alabama,23,55,-32,258
11/9/2013,U-C-F,Florida,Houston,Texas,19,14,5,1366
11/9/2013,Arizona,Arizona,U.C.L.A.,California,26,31,-5,398
11/9/2013,Alabama,Alabama,Louisiana State,Louisiana,38,17,21,389.3
11/9/2013,San Jose State,California,San Diego State,California,30,34,-4,100
11/9/2013,Georgia,Georgia,Appalachian State,North Carolina,45,6,39,428.9
11/9/2013,Memphis,Tennessee,Tennessee-Martin,Tennessee,21,6,15,100
11/9/2013,Idaho,Idaho,Old Dominion,Virginia,38,59,-21,2377.5
11/8/2013,Connecticut,Connecticut,Louisville,Kentucky,10,31,-21,797.2
11/8/2013,New Mexico,New Mexico,Air Force,Colorado,45,37,8,405.3
11/7/2013,Baylor,Texas,Oklahoma,Oklahoma,41,12,29,330.7
11/7/2013,UL-Lafayette,Louisiana,Troy,Alabama,41,36,5,389.3
11/7/2013,Stanford,California,Oregon,Oregon,26,20,6,667
11/6/2013,Ball State,Indiana,Central Michigan,Michigan,44,24,20,324.9
11/5/2013,Buffalo,New York,Ohio,Ohio,30,3,27,535.3
11/5/2013,Miami-Ohio,Ohio,Bowling Green,Kentucky,3,45,-42,248.9
11/2/2013,Virginia,Virginia,Clemson,South Carolina,10,59,-49,339.9
11/2/2013,Boston College,Massachusetts,Virginia Tech,Virginia,34,27,7,619.4
11/2/2013,Toledo,Ohio,Eastern Michigan,Michigan,55,16,39,367
11/2/2013,Massachusetts,Massachusetts,Northern Illinois,Illinois,19,63,-44,1099.3
11/2/2013,Akron,Ohio,Kent State,Ohio,16,7,9,100
11/2/2013,Rutgers,New Jersey,Temple,Pennsylvania,23,20,3,233.2
11/2/2013,Penn State,Pennsylvania,Illinois,Illinois,24,17,7,737.4
11/2/2013,Georgia Tech,Georgia,Pittsburgh,Pennsylvania,21,10,11,849.8
11/2/2013,Syracuse,New York,Wake Forest,North Carolina,13,0,13,426
11/2/2013,Georgia State,Georgia,Western Kentucky,Kentucky,28,44,-16,519.4
11/2/2013,Missouri,Missouri,Tennessee,Tennessee,31,3,28,479.2
11/2/2013,Kansas State,Kansas,Iowa State,Iowa,41,7,34,465
11/2/2013,Marshall,Tennessee,Southern Miss,Mississippi,61,13,48,346.7
11/2/2013,Texas A+M,Texas,UTEP,Texas,57,7,50,100
11/2/2013,U-A-B,Alabama,Middle Tennessee,Tennessee,21,24,-3,258
11/2/2013,Tulsa,Oklahoma,Texas-San Antonio,Texas,15,34,-19,341.4
11/2/2013,Air Force,Colorado,Army,New York,42,28,14,1842
11/2/2013,Texas Christian,Texas,West Virginia,West Virginia,27,30,-3,1360.7
11/2/2013,Florida,Florida,Georgia,Georgia,20,23,-3,365.7
11/2/2013,California,California,Arizona,Arizona,28,33,-5,398
11/2/2013,Florida State,Florida,Miami-Florida,Florida,41,14,27,100
11/2/2013,Iowa,Iowa,Wisconsin,Wisconsin,9,28,-19,327.8
11/2/2013,Michigan State,Michigan,Michigan,Michigan,29,6,23,100
11/2/2013,Purdue,Indiana,Ohio State,Ohio,0,56,-56,240.7
11/2/2013,Indiana,Indiana,Minnesota,Minnesota,39,42,-3,732.8
11/2/2013,U.C.L.A.,California,Colorado,Colorado,45,23,22,1174
11/2/2013,Notre Dame,Indiana,Navy,Maryland,38,34,4,616.3
11/2/2013,Arkansas,Arkansas,Auburn,Alabama,17,35,-18,430.6
11/2/2013,Nebraska,Nebraska,Northwestern,Illinois,27,24,3,654.2
11/2/2013,South Alabama,Alabama,Arkansas State,Arkansas,16,17,-1,431.5
11/2/2013,Utah State,Utah,Hawaii,Hawaii,47,10,37,2950
11/2/2013,Nevada-Las Vegas,Nevada,San Jose State,California,24,34,-10,556.6
11/2/2013,UL-Lafayette,Louisiana,New Mexico State,New Mexico,49,35,14,968.9
11/2/2013,Idaho,Idaho,Texas State,Texas,21,37,-16,1435.7
11/2/2013,No Carolina State,North Carolina,North Carolina,North Carolina,19,27,-8,100
11/2/2013,Texas,Texas,Kansas,Kansas,35,13,22,640.8
11/2/2013,Florida Atlantic,Florida,Tulane,Louisiana,34,17,17,835.9
11/2/2013,Texas Tech,Texas,Oklahoma State,Oklahoma,34,52,-18,330.7
11/2/2013,Florida Intl,Florida,East Carolina,North Carolina,13,34,-21,656.8
11/2/2013,Fresno State,California,Nevada-Reno,Nevada,41,23,18,556.6
11/2/2013,South Carolina,South Carolina,Mississippi State,Mississippi,34,16,18,535.3
11/2/2013,Colorado State,Colorado,Boise State,Idaho,30,42,-12,846
11/2/2013,San Diego State,California,New Mexico,New Mexico,35,30,5,991.6
11/2/2013,Kentucky,Kentucky,Alabama State,Alabama,48,14,34,499.6
11/1/2013,Oregon State,Oregon,Southern Cal,California,14,31,-17,667
10/31/2013,Houston,Texas,South Florida,Florida,35,23,12,1366
10/31/2013,North Texas,Texas,Rice,Texas,28,16,12,100
10/31/2013,Troy,Alabama,UL-Monroe,Louisiana,37,49,-12,389.3
10/31/2013,Washington State,Washington,Arizona State,Arizona,21,55,-34,1441.1
10/30/2013,Memphis,Tennessee,Cincinnati,Ohio,21,34,-13,479.8
10/26/2013,Virginia,Virginia,Georgia Tech,Georgia,25,35,-10,510.9
10/26/2013,U-C-F,Florida,Connecticut,Connecticut,62,17,45,1247.3
10/26/2013,Akron,Ohio,Ball State,Indiana,24,42,-18,240.7
10/26/2013,Ohio,Ohio,Miami-Ohio,Ohio,41,16,25,100
10/26/2013,Kent State,Ohio,Buffalo,New York,21,41,-20,535.3
10/26/2013,Massachusetts,Massachusetts,Western Michigan,Michigan,30,31,-1,865
10/26/2013,Rutgers,New Jersey,Houston,Texas,14,49,-35,1742.6
10/26/2013,North Carolina,North Carolina,Boston College,Massachusetts,34,10,24,716.9
10/26/2013,Maryland,Maryland,Clemson,South Carolina,27,40,-13,523.5
10/26/2013,Virginia Tech,Virginia,Duke,North Carolina,10,13,-3,154.9
10/26/2013,Navy,Maryland,Pittsburgh,Pennsylvania,24,21,3,197.8
10/26/2013,Texas-San Antonio,Texas,U-A-B,Alabama,52,31,21,829.8
10/26/2013,S-M-U,Texas,Temple,Pennsylvania,59,49,10,1614.9
10/26/2013,Northern Illinois,Illinois,Eastern Michigan,Michigan,59,20,39,409.6
10/26/2013,Colorado,Colorado,Arizona,Arizona,20,44,-24,644.8
10/26/2013,Texas A+M,Texas,Vanderbilt,Tennessee,56,24,32,916.9
10/26/2013,Auburn,Alabama,Florida Atlantic,Florida,45,10,35,547
10/26/2013,Alabama,Alabama,Tennessee,Tennessee,45,10,35,258
10/26/2013,Oregon,Oregon,U.C.L.A.,California,42,14,28,667
10/26/2013,Southern Cal,California,Utah,Utah,19,3,16,793.2
10/26/2013,Tulane,Louisiana,Tulsa,Oklahoma,14,7,7,468.1
10/26/2013,Washington,Washington,California,California,41,17,24,954.6
10/26/2013,Kansas State,Kansas,West Virginia,West Virginia,35,12,23,1074
10/26/2013,Illinois,Illinois,Michigan State,Michigan,3,42,-39,409.6
10/26/2013,Miami-Florida,Florida,Wake Forest,North Carolina,24,21,3,656.8
10/26/2013,Florida State,Florida,No Carolina State,North Carolina,49,17,32,656.8
10/26/2013,Oklahoma,Oklahoma,Texas Tech,Texas,38,30,8,341.4
10/26/2013,Texas Christian,Texas,Texas,Texas,7,30,-23,100
10/26/2013,Iowa,Iowa,Northwestern,Illinois,17,10,7,259.9
10/26/2013,Nevada-Reno,Nevada,Nevada-Las Vegas,Nevada,22,27,-5,100
10/26/2013,San Jose State,California,Wyoming,Wyoming,51,44,7,1161.4
10/26/2013,Oregon State,Oregon,Stanford,California,12,20,-8,667
10/26/2013,Western Kentucky,Kentucky,Troy,Alabama,26,32,-6,499.6
10/26/2013,Air Force,Colorado,Notre Dame,Indiana,10,45,-35,1190.5
10/26/2013,UL-Monroe,Louisiana,Georgia State,Georgia,38,10,28,683.9
10/26/2013,Texas State,Texas,South Alabama,Alabama,33,31,2,829.8
10/26/2013,Mississippi,Mississippi,Idaho,Idaho,59,14,45,2098.2
10/26/2013,Southern Miss,Mississippi,North Texas,Texas,14,55,-41,673.3
10/26/2013,Florida Intl,Florida,Louisiana Tech,Louisiana,7,23,-16,835.9
10/26/2013,Missouri,Missouri,South Carolina,South Carolina,24,27,-3,866.5
10/26/2013,Iowa State,Iowa,Oklahoma State,Oklahoma,27,58,-31,632.1
10/26/2013,Kansas,Kansas,Baylor,Texas,14,59,-45,640.8
10/26/2013,Minnesota,Minnesota,Nebraska,Nebraska,34,23,11,585.4
10/26/2013,South Florida,Florida,Louisville,Kentucky,3,34,-31,861.1
10/26/2013,Bowling Green,Kentucky,Toledo,Ohio,25,28,-3,248.9
10/26/2013,Ohio State,Ohio,Penn State,Pennsylvania,63,14,49,354.5
10/26/2013,Rice,Texas,UTEP,Texas,45,7,38,100
10/26/2013,San Diego State,California,Fresno State,California,28,35,-7,100
10/26/2013,Hawaii,Hawaii,Colorado State,Colorado,28,35,-7,3231
10/26/2013,New Mexico State,New Mexico,Abilene Christian,Texas,34,29,5,449.2
10/26/2013,Louisiana State,Louisiana,Furman,South Carolina,48,16,32,766.3
10/25/2013,Brigham Young,Utah,Boise State,Idaho,37,20,17,520.2
10/24/2013,Mississippi State,Mississippi,Kentucky,Kentucky,28,22,6,593.6
10/24/2013,Middle Tennessee,Tennessee,Marshall,Tennessee,51,49,2,100
10/22/2013,Arkansas State,Arkansas,UL-Lafayette,Louisiana,7,23,-16,347.7
10/19/2013,Virginia,Virginia,Duke,North Carolina,22,35,-13,154.9
10/19/2013,Temple,Pennsylvania,Army,New York,33,14,19,200.2
10/19/2013,Eastern Michigan,Michigan,Ohio,Ohio,28,56,-28,367
10/19/2013,Western Michigan,Michigan,Ball State,Indiana,17,38,-21,324.9
10/19/2013,Central Michigan,Michigan,Northern Illinois,Illinois,17,38,-21,409.6
10/19/2013,Michigan State,Michigan,Purdue,Indiana,14,0,14,324.9
10/19/2013,East Carolina,North Carolina,Southern Miss,Mississippi,55,14,41,715.9
10/19/2013,Clemson,South Carolina,Florida State,Florida,14,51,-37,497.6
10/19/2013,Wake Forest,North Carolina,Maryland,Maryland,34,10,24,314.4
10/19/2013,West Virginia,West Virginia,Texas Tech,Texas,27,37,-10,1360.7
10/19/2013,Northwestern,Illinois,Minnesota,Minnesota,17,20,-3,614.7
10/19/2013,Toledo,Ohio,Navy,Maryland,45,44,1,460.4
10/19/2013,Cincinnati,Ohio,Connecticut,Connecticut,41,16,25,611.4
10/19/2013,Memphis,Tennessee,S-M-U,Texas,29,34,-5,916.9
